E, M, CV, X, Temp, acc
-1.99607,0.998672,0.0313942,0.00402595,1,4.34422e+08
-1.99442,0.998126,0.0403913,0.00537615,1.05,4.34433e+08
-1.99197,0.997325,0.052904,0.00726125,1.1,4.34449e+08
-1.98861,0.996221,0.0685197,0.00976338,1.15,4.34472e+08
-1.98516,0.995087,0.0818553,0.0121221,1.2,4.34502e+08
-1.98077,0.993627,0.0975724,0.0150812,1.25,4.3454e+08
-1.97524,0.991744,0.115851,0.0188564,1.3,4.3459e+08
-1.96878,0.989627,0.135026,0.0226612,1.35,4.34652e+08
-1.96141,0.9871,0.154617,0.0272545,1.4,4.34729e+08
-1.95271,0.984204,0.175836,0.0320724,1.45,4.34824e+08
-1.94422,0.981502,0.193046,0.0359142,1.5,4.34935e+08
-1.93305,0.97776,0.215872,0.0416629,1.55,4.35069e+08
-1.92244,0.974236,0.233514,0.0465362,1.6,4.35224e+08
-1.90871,0.969669,0.256561,0.0527923,1.65,4.35406e+08
-1.89578,0.965258,0.274374,0.0585729,1.7,4.35615e+08
-1.884,0.961377,0.286674,0.0628607,1.75,4.35847e+08
-1.8666,0.955646,0.30886,0.0695283,1.8,4.36114e+08
-1.85266,0.95092,0.320395,0.0744799,1.85,4.3641e+08
-1.83496,0.945098,0.337145,0.0803528,1.9,4.36739e+08
-1.81923,0.93979,0.347904,0.0853601,1.95,4.37101e+08
-1.80261,0.934381,0.357873,0.0898073,2,4.37497e+08
-1.78425,0.928157,0.368891,0.095272,2.05,4.37929e+08
-1.76551,0.922094,0.378634,0.0997781,2.1,4.38398e+08
-1.74523,0.915359,0.388163,0.104838,2.15,4.38908e+08
-1.72317,0.907856,0.398092,0.110565,2.2,4.39461e+08
-1.70523,0.901908,0.401427,0.114062,2.25,4.40051e+08
-1.68601,0.895554,0.40477,0.117618,2.3,4.40678e+08
-1.6639,0.888497,0.410148,0.121251,2.35,4.4135e+08
-1.64277,0.881242,0.413408,0.125425,2.4,4.42065e+08
-1.62316,0.874903,0.413945,0.127968,2.45,4.42817e+08
-1.60037,0.867232,0.416065,0.13164,2.5,4.43616e+08
-1.58209,0.861459,0.413994,0.133146,2.55,4.44452e+08
-1.55797,0.853017,0.415244,0.1372,2.6,4.45336e+08
-1.5385,0.846953,0.413113,0.138454,2.65,4.46258e+08
-1.51972,0.840527,0.409207,0.140298,2.7,4.47219e+08
-1.5002,0.833897,0.406082,0.142159,2.75,4.4822e+08
-1.48169,0.827994,0.401887,0.142967,2.8,4.49258e+08
-1.4581,0.819897,0.39946,0.145339,2.85,4.50344e+08
-1.43877,0.813895,0.395012,0.145729,2.9,4.51466e+08
-1.41999,0.807724,0.389958,0.146427,2.95,4.52628e+08
-1.40034,0.801162,0.385004,0.147283,3,4.53828e+08
-1.38333,0.795833,0.379062,0.14712,3.05,4.55063e+08
-1.36223,0.788565,0.374784,0.148366,3.1,4.56339e+08
-1.34314,0.782473,0.369224,0.148392,3.15,4.57653e+08
-1.32372,0.775879,0.363773,0.14892,3.2,4.59004e+08
-1.30672,0.770778,0.357777,0.148181,3.25,4.60391e+08
-1.28963,0.764776,0.351637,0.148471,3.3,4.61812e+08
-1.27316,0.759721,0.344858,0.147594,3.35,4.63267e+08
-1.2527,0.752594,0.339853,0.148177,3.4,4.6476e+08
-1.23629,0.74748,0.334034,0.147474,3.45,4.66287e+08
-1.22214,0.743201,0.327224,0.146292,3.5,4.67842e+08
-1.20273,0.736215,0.321555,0.146666,3.55,4.69436e+08
-1.18961,0.732299,0.314958,0.145352,3.6,4.71056e+08
-1.17077,0.725952,0.309366,0.145077,3.65,4.72713e+08
-1.1585,0.722246,0.302767,0.143723,3.7,4.74396e+08
-1.14289,0.716892,0.296982,0.143218,3.75,4.76111e+08
-1.13003,0.712922,0.291153,0.142061,3.8,4.7785e+08
-1.11407,0.707584,0.285889,0.141464,3.85,4.79621e+08
-1.1009,0.703396,0.280134,0.140378,3.9,4.81418e+08
-1.08753,0.699229,0.274307,0.139167,3.95,4.83242e+08
-1.07166,0.693962,0.26848,0.138254,4,4.85099e+08
-1.0597,0.690152,0.263067,0.137121,4.05,4.8698e+08
-1.04531,0.68523,0.25776,0.136324,4.1,4.88889e+08
-1.03345,0.68158,0.252775,0.135126,4.15,4.90821e+08
-1.02176,0.677706,0.247581,0.134072,4.2,4.92779e+08
-1.01066,0.674254,0.242571,0.132838,4.25,4.94758e+08
-0.995516,0.669631,0.237992,0.131672,4.3,4.96765e+08
-0.983618,0.665439,0.232878,0.130745,4.35,4.98796e+08
-0.971508,0.661413,0.228431,0.129788,4.4,5.00853e+08
-0.964762,0.659457,0.223692,0.128383,4.45,5.02923e+08
-0.951906,0.654977,0.219305,0.127559,4.5,5.05019e+08
-0.942518,0.652386,0.214652,0.126027,4.55,5.07136e+08
-0.928398,0.647539,0.210393,0.125168,4.6,5.09279e+08
-0.917456,0.644267,0.206082,0.123844,4.65,5.11442e+08
-0.909512,0.64166,0.202183,0.122789,4.7,5.13624e+08
-0.898694,0.638523,0.198214,0.121468,4.75,5.15826e+08
-0.890856,0.6358,0.194092,0.120408,4.8,5.18046e+08
-0.879664,0.632308,0.190561,0.11934,4.85,5.20286e+08
-0.869836,0.629197,0.186784,0.118205,4.9,5.22546e+08
-0.860014,0.626027,0.183232,0.117158,4.95,5.24824e+08
-0.852986,0.623323,0.179633,0.116317,5,5.27121e+08
