E, M, Mabs, Cv, X, Temp
-1.74449,0.910224,0.910224,0.000211226,0.000138542,2
-1.741,0.909341,0.909341,0.000196427,0.000107462,2.005
-1.73742,0.907768,0.907768,0.000201089,0.000106971,2.01
-1.73295,0.905122,0.905122,0.000211398,0.000123906,2.015
-1.72996,0.903941,0.903941,0.000221079,0.000136081,2.02
-1.72734,0.90281,0.90281,0.000213356,0.000129161,2.025
-1.72318,0.901169,0.901169,0.000222195,0.000134352,2.03
-1.72004,0.898938,0.898938,0.000223434,0.000156882,2.035
-1.71467,0.896254,0.896254,0.000232173,0.000157057,2.04
-1.71019,0.894197,0.894197,0.000224343,0.000143469,2.045
-1.70978,0.895358,0.895358,0.000228351,0.00014045,2.05
-1.70075,0.889319,0.889319,0.000238954,0.000171308,2.055
-1.69819,0.887779,0.887779,0.000246114,0.000202379,2.06
-1.69282,0.885582,0.885582,0.000238911,0.000178521,2.065
-1.69063,0.884786,0.884786,0.00023681,0.000168437,2.07
-1.68434,0.881211,0.881211,0.000245146,0.000205048,2.075
-1.68095,0.879673,0.879673,0.000237622,0.000196805,2.08
-1.67715,0.877977,0.877977,0.000248178,0.000204482,2.085
-1.66841,0.870744,0.870744,0.000295777,0.000293061,2.09
-1.6661,0.870154,0.870154,0.000281392,0.000280071,2.095
-1.66176,0.869157,0.869157,0.000248182,0.00020332,2.1
-1.65561,0.865535,0.865535,0.000257653,0.000243844,2.105
-1.65189,0.86307,0.86307,0.000280247,0.000295753,2.11
-1.64625,0.859596,0.859596,0.000269977,0.000282722,2.115
-1.64125,0.854521,0.854521,0.000303275,0.000643449,2.12
-1.63927,0.855201,0.855201,0.000286856,0.000353017,2.125
-1.63192,0.850898,0.850898,0.000310994,0.000352852,2.13
-1.62901,0.848708,0.848708,0.000300328,0.00037047,2.135
-1.62023,0.843547,0.843547,0.000301402,0.000383172,2.14
-1.6169,0.842764,0.842764,0.00029809,0.00033456,2.145
-1.61141,0.838642,0.838642,0.000322526,0.000412551,2.15
-1.60425,0.832917,0.832917,0.000319469,0.000442973,2.155
-1.60147,0.833291,0.833291,0.000317961,0.000420671,2.16
-1.59317,0.825864,0.825864,0.000324002,0.000533584,2.165
-1.5819,0.806446,0.806446,0.000395678,0.00165664,2.17
-1.57885,0.811127,0.811127,0.000336425,0.000775585,2.175
-1.57665,0.815292,0.815292,0.000309305,0.000539771,2.18
-1.56844,0.806178,0.806178,0.000386358,0.000823812,2.185
-1.55975,0.799031,0.799031,0.000370325,0.000808971,2.19
-1.55727,0.800021,0.800021,0.00036003,0.000765656,2.195
-1.54103,0.772636,0.772636,0.000454174,0.00232251,2.2
-1.53759,0.778685,0.778685,0.000341601,0.000922195,2.205
-1.51457,0.698952,0.698952,0.000641828,0.0125196,2.21
-1.53053,0.777678,0.777678,0.00039517,0.00101024,2.215
-1.52007,0.762774,0.762774,0.000401007,0.00139311,2.22
-1.51796,0.765343,0.765343,0.000395229,0.00117013,2.225
-1.48562,-0.113387,0.647328,0.000789504,0.0213297,2.23
-1.49804,0.729267,0.729267,0.000460612,0.00314612,2.235
-1.44469,0.523193,0.526269,0.000817527,0.0266824,2.24
-1.48385,0.72952,0.72952,0.000429995,0.00199597,2.245
