E, E2, M, M2, Mabs, Temp
-1.75533,493692,374.326,140172,374.326,2
-1.75539,493726,374.333,140177,374.333,2.005
-1.7554,493731,374.336,140179,374.336,2.01
-1.75541,493737,374.334,140179,374.334,2.015
-1.75541,493739,374.334,140179,374.334,2.02
-1.75538,493719,374.33,140175,374.33,2.025
-1.75542,493742,374.335,140179,374.335,2.03
-1.75522,493631,374.313,140163,374.313,2.035
-1.75533,493696,374.325,140172,374.325,2.04
-1.75532,493685,374.324,140171,374.324,2.045
-1.75526,493656,374.317,140165,374.317,2.05
-1.75532,493689,374.327,140173,374.327,2.055
-1.75485,493425,374.243,140110,374.243,2.06
-1.75496,493485,374.253,140118,374.253,2.065
-1.75493,493472,374.254,140119,374.254,2.07
-1.75489,493448,374.248,140114,374.248,2.075
-1.75484,493422,374.241,140109,374.241,2.08
-1.75487,493439,374.244,140111,374.244,2.085
-1.755,493510,374.259,140122,374.259,2.09
-1.75478,493387,374.235,140104,374.235,2.095
-1.75489,493446,374.25,140116,374.25,2.1
-1.75492,493468,374.251,140116,374.251,2.105
-1.75477,493383,374.236,140105,374.236,2.11
-1.75489,493451,374.247,140114,374.247,2.115
-1.7548,493401,374.239,140108,374.239,2.12
-1.75488,493443,374.247,140114,374.247,2.125
-1.75485,493426,374.243,140110,374.243,2.13
-1.75495,493481,374.254,140119,374.254,2.135
-1.7548,493399,374.237,140106,374.237,2.14
-1.75478,493389,374.237,140106,374.237,2.145
-1.75493,493469,374.253,140118,374.253,2.15
-1.75492,493464,374.251,140116,374.251,2.155
-1.75484,493419,374.242,140110,374.242,2.16
-1.75492,493463,374.252,140117,374.252,2.165
-1.75494,493477,374.256,140121,374.256,2.17
-1.75501,493515,374.262,140125,374.262,2.175
-1.75489,493448,374.247,140113,374.247,2.18
-1.75489,493451,374.249,140115,374.249,2.185
-1.75493,493473,374.255,140119,374.255,2.19
-1.75479,493393,374.237,140106,374.237,2.195
-1.75491,493461,374.251,140116,374.251,2.2
-1.75485,493428,374.244,140111,374.244,2.205
-1.75492,493464,374.253,140118,374.253,2.21
-1.75502,493520,374.262,140125,374.262,2.215
-1.75483,493413,374.242,140110,374.242,2.22
-1.75486,493433,374.245,140112,374.245,2.225
-1.75495,493480,374.253,140118,374.253,2.23
-1.7544,493175,374.165,140053,374.165,2.235
-1.75445,493203,374.172,140058,374.172,2.24
-1.75451,493235,374.177,140061,374.177,2.245
-1.75436,493154,374.159,140048,374.159,2.25
-1.75439,493170,374.165,140052,374.165,2.255
-1.75437,493157,374.162,140050,374.162,2.26
-1.75456,493266,374.18,140064,374.18,2.265
-1.75448,493219,374.173,140058,374.173,2.27
-1.75431,493124,374.154,140044,374.154,2.275
-1.75445,493200,374.17,140056,374.17,2.28
-1.75447,493210,374.172,140057,374.172,2.285
-1.75438,493166,374.163,140051,374.163,2.29
-1.75451,493237,374.177,140062,374.177,2.295
-1.75431,493126,374.154,140044,374.154,2.3
